      IPTS Basename                                                        Avg_Trans    Std_Trans
     30240 SDS_5mgmL_0M_38C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_40C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_40CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_40CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_40CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_40CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_40CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_40CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_40CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_40CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_40C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_40C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_40C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_40C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_40C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_40C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_40C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_42C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_42CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_42CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_42CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_42CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_42CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_42CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_42CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_42CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_42C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_42C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_42C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_42C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_42C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_42C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_42C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_44C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_44CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_44CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_44CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_44CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_44CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_44CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_44CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_44CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_44C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_44C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_44C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_44C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_44C_incohfit_errwt_raw                              0.812234     0.011406
