n,T_tot,E
0.76,0.02059089058399483,0.3376717676295967
0.765,0.02059089058399483,0.3401279328713154
0.77,0.02059089058399483,0.3426538069640003
0.775,0.02059089058399483,0.3452508914820845
0.78,0.02059089058399483,0.34792073674887564
0.785,0.02059089058399483,0.35066494320725383
0.79,0.02059089058399483,0.3534851628378288
0.795,0.02059089058399483,0.35638310062603945
0.8,0.02059089058399483,0.3593605160797322
0.805,0.02059089058399483,0.3624192247988073
0.81,0.02059089058399483,0.3655611000985831
0.8150000000000001,0.02059089058399483,0.3687880746885829
0.8200000000000001,0.02059089058399483,0.3721021424085114
0.8250000000000001,0.02059089058399483,0.37550536002325186
0.8300000000000001,0.02059089058399483,0.3789998490787768
0.835,0.02059089058399483,0.38258779782093444
0.84,0.02059089058399483,0.3862714631791412
0.845,0.02059089058399483,0.39005317281708274
0.85,0.02059089058399483,0.39393532725259933
0.855,0.02059089058399483,0.39792040204900786
0.86,0.02059089058399483,0.40201095008019383
0.865,0.02059089058399483,0.4062096038718839
0.87,0.02059089058399483,0.41051907802160037
0.875,0.02059089058399483,0.4149421716998811
0.88,0.02059089058399483,0.4194817712354409
0.885,0.02059089058399483,0.42414085278704594
0.89,0.02059089058399483,0.4289224851049656
0.895,0.02059089058399483,0.43382983238496897
0.9,0.02059089058399483,0.4388661572179371
0.905,0.02059089058399483,0.44403482363826724
0.91,0.02059089058399483,0.4493393002743593
0.915,0.02059089058399483,0.4547831636045837
0.92,0.02059089058399483,0.46037010132225786
0.925,0.02059089058399483,0.46610391581327004
0.93,0.02059089058399483,0.47198852775012784
0.935,0.02059089058399483,0.47802797980632955
0.9400000000000001,0.02059089058399483,0.484226440495101
0.9450000000000001,0.02059089058399483,0.49058820813667775
0.9500000000000001,0.02059089058399483,0.4971177149584542
0.9550000000000001,0.02059089058399483,0.5038195313324844
0.96,0.02059089058399483,0.5106983701549584
0.965,0.02059089058399483,0.5177590913724566
0.97,0.02059089058399483,0.5250067066599349
0.975,0.02059089058399483,0.5324463842555857
0.98,0.02059089058399483,0.540083453957878
0.985,0.02059089058399483,0.5479234122902844
0.99,0.02059089058399483,0.5559719278393788
0.995,0.02059089058399483,0.5642348467722019
1.0,0.02059089058399483,0.5727181985389828
